das Anzeichen,-	elojel, ismertetojel
schweben	lebeg, fugg
schwelgen	dozsol, tobzodik
herkommlich	hagyomanyos
der Strich,-e	huzas, vonas, vonal, simitas
der Ruckschlag,-e	visszaeses, hanyatlas
die Herausforderung,-en	kihivas
die Anschaffung,-en	vetel, vasarlas, beszerzes
eifersuchtig	feltekeny, irigy
weiblich	noi, noies
die Lage	allapot, fekves, helyzet, hely, reteg
das Hirn,-e	agy
ausgewogen	kiegyensulyozott
anregen	biztat, javasol, buzdit
schwirren	kavarog, rezeg, zug
scheitern	meghiusul, kudarcba fullad, zatonyra fut
zulassen	folvesz, megenged, zarva tart
versauen	elront, tonkretesz
entnehmen, a.,h.o.	kivesz, merit
der Vorgang,-e	elozes, elsobbseg, folyamat
das Tor,-en	kapu
genau	pontos, preciz, egzakt
endgultig	vegleges, vegervenyes
erfolgen	bekovetkezik, lezajlik
das Lob,-e	dicseret
der Umstand,-e	allapot, hatarozo, korulmeny
weshalb	ami miatt
zum Teil	reszben
der Mietvertrag,-e	berleti szerzodes
anderthalb	masfel
jenseits + G	vmin tul
verdammt	atkozott
das Packet,-e	csomag
planmassig	tervszeru, tervezett
hervorragend	kivalo / kivaltkeppen
etw. beschreiten	vmin elindulni, vegigmenni
der Liegestuhl,-e	nyugagy
pragen	jellemez, formal, alkot, beves
das Schaf,-e	birka
Schlitten fahren	szankozik
reif	erett
sich etw. (D) hingeben	atadni magat vminek
an etw. herankommen	utoler vmit, osszehasonlithato vmivel
die Steuer,-n	ado
veruben	elkovet, veghezvisz
das Ehepaar,-e	hazaspar
das Geschlecht	nem (him, nosteny)
auffalig	feltuno
der Sauerstoff	oxigen
der Teig,-e	teszta
der Tropfen,-	csepp
giessen, o.,h.o.	tolt, ont, locsol
das Gemisch,-e =das Gemenge	keverek
giftig	mergezo
gelangen an	eljut, megerkezik
ubrigens	egyebkent, kulonben
der Dampf,-e	goz
festheften	szorosra meghuz
der Streifen,-	csik, sav, szalag / jarorozes
das Klebeband,-er	ragasztoszalag
das Tiefkuhlgerat,-e	melyhuto
bloss	csupasz, csupan, csak
der Bezug,-e	hivatkozas, utalas
das Merkmal,-e	ismertetojel, tulajdonsag
der Ansatz,-e	alap, kezdet
die Auflage,-n	kiadas (konyve)
der Verlauf,-e	menet, lefolyas
zunachst	mindenekelott, eloszor is
aufspannen	kifeszit
der Spat	hasab
die Wand, ¨-e	bastya, fal
der Zaun, ¨-e	kerites, soveny
die Verhandlung,-en	targyalas
der Verweis,-e	utalas
das Lacheln	mosoly (nevetes)
der Schwarm,-¨e	raj, csapat
zum Verhangnis werden	a vegzeteve valik
uberlassen	atad, rabiz
schwarmen fur	rajong vmiert
die Pforte,-n	bejarat, porta
anscheinend	latszolag
abschweifen	elkalandozik, elter a tematol (sich ablenken lassen)     zutreffen (a.,o.) auf
der Regenschauer	zapor
entfalten	kifejt, kibont(akoztat)
hemmen	korlatoz, megakadalyoz
bluhen	viragzik
anbauen	muvel (foldet)
rieseln	szemerkel, szital
der Umschlag	boritek / atcsapas, hirtelen valtozas
beitragen	hozzajarul
der Verdienst	erdem
die Abhandlung	essze, fogalmazas
knabbern	ragcsal, majszol
wegweisend	elenjaro, uttoro
der Ausschuss,-¨e	bizottsag / hibas darab, selejt / kizaras
einst	egykor, hajdan
fussen auf	nyugszik vmin
die Festplatte	merevlemez, hard drive
verrammeln	elzar
zerstreut	szetszort
die Hut	legelo, gondozas, vedelem
klarkommen	boldogul vmivel
das Gewehr	puska, lofegyver (Schusswaffe)
der Andrang	tolongas
die Ausbeute	haszon, nyereseg
sich betragen	viselkedik
die Tragheit	tehetetlenseg
die Hohle	barlang, ureg
das Gefass	tartaly, edeny
sich bewahren	beigazolodik
neigen zu	hajlamos vmire, hajlik vmire
die Abfolge	sorrend
die Gewahr	biztositek, garancia
die Spinne	pok
das Verbrechen	buntett
lauern	bujkal, leselkedik
rucksichtslos	figyelmetlen, tapintatlan, kimeletlen
benachbart	hataros
die Veranlagung	hajlam, tehetseg
erhaschen	elcsip, elkap
die Schussel	tal
verstreut	szetszort
das Schicksal	sors, vegzet (Verhangnis)
umkippen	atbillen
duster	homalyos, borus, komor
allzu	tulsagosan
beeintrachtigen	befolyasol, korlatoz
das Kupfer	rez
durchforsten	atkutat
handfest	kiados
verfechten (i.), o.,h.o.	vedelmez
schnuppern	szimatol, beleszagol
das Ausmass	meret, kiterjedes
verfassen	megir, megfogalmaz
das Schlupfloch	kibuvo, kiut
durchqueren	atmegy, keresztez
der Winkel	szog (mat.)
gluhend	buzgo
etlich	jopar
nach wie vor	valtozatlanul, meg mindig
spucken	kop
bedrangen	szorong
verseuchen	megfertoz
wortwortlich	szo szerint
basteln	barkacsol, babral
die Latte,-n	lec
sich weigern	vonakodik
umsetzen	atalakit/bevalt vmit
das Bekenntnis	beismeres, vallomas
angebracht	helyenvalo
die Auffassung	felfogas, velemeny
das Siegel,-	pecset
die Wahrung	penznem, valuta
rutschen	csuszik, csuszkal
der Eimer, der Kubel	vodor
verstricken	belekever, bevon
uberwinden, a., h.u.	legyoz, legyur
rauskriegen	megtud, kiszed vkibol vmit
der Lehrstuhl	tanszek (egyetemi)
die Gegenuberstellung	osszevetes, szembesites
der Esel	szamar
die Haftung	felelosseg, szavatossag
