das Anzeichen,-	elõjel, ismertetõjel	sich überschlagen	felborul, felbukik
schweben	lebeg, függ	der Blitzschlag,-ë	villámcsapás
schwelgen	dõzsöl, tobzódik	bereuen	megbán
herkömmlich	hagyományos	voreilig	elhamarkodott, meggondolatlan
der Strich,-e	húzás, vonás, vonal, simítás	widerfahren	elõfordul, megesik
der Rückschlag,-ë	visszaesés, hanyatlás	sich verkriechen	elbújik
die Herausforderung,-en     kihívás	die Anschaffung,-en	vétel, vásárlás, beszerzés
eifersüchtig	féltékeny, irigy	die Anschrift,-en (=Überschrift)	cím
weiblich	nõi, nõies	verzichten auf etw.	lemondani vmirõl
die Lage	állapot, fekvés, helyzet, hely, réteg	erblich	örökölt, örökölhetõ
das Hirn,-e	agy	verzögern	halogat, késleltet
ausgewogen	kiegyensúlyozott	sich befassen mit	foglalkozik vmivel
anregen	biztat, javasol, buzdít	amtlich	hivatalos
schwirren	kavarog, rezeg, zúg	vertreiben	árusít, forgalomba hoz
scheitern	meghiúsul, kudarcba fullad, zátonyra fut	vermutlich	valószínûleg, vélhetõen
zulassen	fölvesz, megenged, zárva tart	zum Vorschein kommen	láthatóvá válik, elõjön
versauen	elront, tönkretesz	die Einrichtung,-en	beiktatás, intézkedés, intézmény
entnehmen, a.,h.o.	kivesz, merít	die Vorlesung,-en	elõadás (egyetemen)
der Vorgang,-ë	elõzés, elsõbbség, folyamat	sich verzweigen	elágazik
das Tor,-en	kapu	sich verpflichten	elkötelezi magát, elszerzõdik
genau	pontos, precíz, egzakt	reizvoll	bájos, vonzó
endgültig	végleges, végérvényes	die Ankunft,-ë	érkezés
erfolgen	bekövetkezik, lezajlik	vorlegen	bemutat, elé tesz
das Lob,-e	dicséret	umständlich	körülményes, terjengõs
der Umstand,-ë	állapot, határozó, körülmény	die Bescheinigung,-en	bizonyítvány, igazolás
weshalb	ami miatt	fügen	hozzátesz, összeállít
zum Teil	részben	veranlassen	elintéz, elõidéz, okoz, rábír
der Mietvertrag,-ë	bérleti szerzõdés	die Anlage,-n	függelék, melléklet / létesítmény, szerkezet
anderthalb	másfél	entreißen	elragad, elvesz, kiránt, kitép
jenseits + G	vmin túl	verfolgen	követ, üldöz
verdammt	átkozott	die Röhre,-n	csõ, vezeték
das Packet,-e	csomag	die Wucht	lendület, hevesség, erõ
